timestamp,equity,pnl,position
1700000068,1000001.220000,1.220000,4
1700000068,1000001.220000,1.220000,2
1700000069,1000001.220000,1.220000,2
1700000069,1000001.180000,1.180000,0
1700000070,1000001.180000,1.180000,0
1700000071,1000001.180000,1.180000,0
1700000071,1000001.180000,1.180000,-2
1700000072,1000001.180000,1.180000,-2
1700000072,1000001.220000,1.220000,-4
1700000073,1000001.220000,1.220000,-4
1700000073,1000001.220000,1.220000,-6
1700000074,1000001.220000,1.220000,-6
1700000074,1000001.340000,1.340000,-8
1700000075,1000001.340000,1.340000,-8
1700000076,1000001.340000,1.340000,-8
1700000076,1000001.340000,1.340000,-10
1700000077,1000001.340000,1.340000,-10
1700000078,1000001.340000,1.340000,-10
1700000079,1000001.540000,1.540000,-10
1700000080,1000001.540000,1.540000,-10
1700000081,1000001.540000,1.540000,-10
1700000082,1000001.740000,1.740000,-10
1700000083,1000001.740000,1.740000,-10
1700000084,1000001.940000,1.940000,-10
1700000085,1000001.940000,1.940000,-10
1700000086,1000001.940000,1.940000,-10
1700000087,1000002.140000,2.140000,-10
1700000088,1000002.140000,2.140000,-10
1700000089,1000002.340000,2.340000,-10
1700000090,1000002.340000,2.340000,-10
1700000091,1000002.340000,2.340000,-10
1700000092,1000002.540000,2.540000,-10
1700000093,1000002.540000,2.540000,-10
1700000094,1000002.740000,2.740000,-10
1700000095,1000002.740000,2.740000,-10
1700000096,1000002.740000,2.740000,-10
1700000097,1000002.940000,2.940000,-10
1700000098,1000002.940000,2.940000,-10
1700000099,1000002.940000,2.940000,-10
1700000100,1000002.940000,2.940000,-10
1700000101,1000002.940000,2.940000,-10
1700000102,1000003.140000,3.140000,-10
1700000103,1000003.140000,3.140000,-10
1700000104,1000003.340000,3.340000,-10
1700000105,1000003.340000,3.340000,-10
1700000106,1000003.340000,3.340000,-10
1700000107,1000003.540000,3.540000,-10
1700000108,1000003.540000,3.540000,-10
1700000109,1000003.540000,3.540000,-10
1700000110,1000003.540000,3.540000,-10
1700000111,1000003.540000,3.540000,-10
1700000112,1000003.740000,3.740000,-10
1700000113,1000003.740000,3.740000,-10
1700000114,1000003.740000,3.740000,-10
1700000115,1000003.740000,3.740000,-10
1700000116,1000003.740000,3.740000,-10
1700000117,1000003.940000,3.940000,-10
1700000118,1000003.940000,3.940000,-10
1700000119,1000004.140000,4.140000,-10
1700000120,1000004.140000,4.140000,-10
